Date,Name
12/31/2021,New Year's Day
1/17/2022,"Martin Luther King, Jr. Day"
2/21/2022,Presidents Day
5/30/2022,Memorial Day
6/20/2022,Juneteenth National Independence Day
7/4/2022,Independence Day
9/5/2022,Labor Day
10/10/2022,Indigenous Peoples' Day
11/11/2022,Veterans Day
11/24/2022,Thanksgiving Day
12/26/2022,Christmas Day
1/2/2023,New Year's Day
1/16/2023,"Martin Luther King, Jr. Day"
2/20/2023,Presidents Day
5/29/2023,Memorial Day
6/19/2023,Juneteenth National Independence Day
7/4/2023,Independence Day
9/4/2023,Labor Day
10/9/2023,Indigenous Peoples' Day
11/10/2023,Veterans Day
11/23/2023,Thanksgiving Day
12/25/2023,Christmas Day
1/1/2024,New Year's Day
1/15/2024,"Martin Luther King, Jr. Day"
2/19/2024,Presidents Day
5/27/2024,Memorial Day
6/19/2024,Juneteenth National Independence Day
7/4/2024,Independence Day
9/2/2024,Labor Day
10/14/2024,Columbus Day
11/11/2024,Veterans Day
11/28/2024,Thanksgiving Day
12/25/2024,Christmas Day
